QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,IP,DNP Address,DNP Point #,,
35020,ME,501SC1,ME TX1 OVERCURRENT FAIL,1,11,3,3,,,,,STATUS,ME501SC1STATUS,172.16.3.81,1,172,,
35021,ME,21T1SC,ME TX1 2100 FAIL,1,11,3,4,,,,,STATUS,ME21T1SCSTATUS,172.16.3.81,1,175,,
35022,ME,MET1SC,ME TX1 METER FAIL,1,11,3,5,,,,,STATUS,MEMET1SCSTATUS,172.16.3.81,1,176,,
35023,ME,86TCM1,ME TX1 86T LCKOUT TCM,1,11,3,6,,,,,STATUS,ME86TCM1STATUS,172.16.3.81,1,196,,
35024,ME,94TCM1,ME TX1 94T TCM,1,11,3,7,,,,,STATUS,ME94TCM1STATUS,172.16.3.81,1,201,,
35025,ME,K697,ME K697 CIRC SW,1,11,3,8,,,,,STATUS,MEK697STATUS,172.16.3.81,1,0,,
35025,ME,K697,CIRCUIT SWITCHER TRIP,1,11,,,,16,1,,RELAY,MEK697RELAY,172.16.3.81,1,0,,
35025,ME,K697,CIRCUIT SWITCHER CLOSE,1,11,,,,16,0,,RELAY,MEK697RELAY,172.16.3.81,1,0,,
35026,ME,25SC10,ME CH STA/CTRL FAIL,1,11,3,10,,,,,STATUS,ME25SC10STATUS,172.16.3.81,1,181,,
35027,ME,35C109,TX1 3530 TO 2100 COMM,1,11,7,3,,,,,STATUS,ME35C109STATUS,172.16.3.81,1,122,,
35028,ME,35C101,ME BKR 1 CONTROL COMM,1,11,3,12,,,,,STATUS,ME35C101STATUS,172.16.3.81,1,114,,
35029,ME,35C102,ME BKR 2 CONTROL COMM,1,11,3,13,,,,,STATUS,ME35C102STATUS,172.16.3.81,1,115,,
35030,ME,35C103,ME BKR 3 CONTROL COMM,1,11,3,14,,,,,STATUS,ME35C103STATUS,172.16.3.81,1,116,,
35031,ME,35C104,ME BKR 4 CONTROL COMM,1,11,3,15,,,,,STATUS,ME35C104STATUS,172.16.3.81,1,117,,
35033,ME,T1F1AC,ME TX STG1 FANS LOSS AC,1,11,4,0,,,,,STATUS,MET1F1ACSTATUS,172.16.3.81,1,31,,
35034,ME,T1F2AC,ME TX STG2 FANS LOSS AC,1,11,4,1,,,,,STATUS,MET1F2ACSTATUS,172.16.3.81,1,32,,
35035,ME,TX1NHI,ME TX1 NITRO HIGH PR,1,11,4,2,,,,,STATUS,METX1NHISTATUS,172.16.3.81,1,33,,
35036,ME,TX1NLO,ME TX NITRO LOW PR,1,11,4,3,,,,,STATUS,METX1NLOSTATUS,172.16.3.81,1,34,,
35037,ME,T1NCLO,ME TX1 NITRO CYL LOW PR,1,11,4,4,,,,,STATUS,MET1NCLOSTATUS,172.16.3.81,1,35,,
35038,ME,T1PR,ME TX1 TANK PRS RELIEF,1,11,4,5,,,,,STATUS,MET1PRSTATUS,172.16.3.81,1,36,,
35099,ME,1UF,ME BKR 1 UNDER FREQ TRIP,1,11,1,13,,,,,STATUS,ME1UFSTATUS,172.16.3.81,1,70,,
35100,ME,3UF,ME BKR 3 UNDER FREQ TRIP,1,11,1,14,,,,,STATUS,ME3UFSTATUS,172.16.3.81,1,94,,
35101,ME,1POT,ME BKR 1 LOSS POT FOR UF,1,11,1,15,,,,,STATUS,ME1POTSTATUS,172.16.3.81,1,73,,
35102,ME,2POT,ME BKR 2 LOSS POT FOR UF,1,11,2,13,,,,,STATUS,ME2POTSTATUS,172.16.3.81,1,85,,
35103,ME,3POT,ME BKR 3 LOSS POT FOR UF,1,11,2,14,,,,,STATUS,ME3POTSTATUS,172.16.3.81,1,97,,
35104,ME,4POT,ME BKR 4 LOSS POT FOR UF,1,11,2,15,,,,,STATUS,ME4POTSTATUS,172.16.3.81,1,109,,
35220,ME,S3L12,ME LBI S3L12,1,11,3,9,,,,,STATUS,MES3L12STATUS,172.16.3.81,1,64,,
35220,ME,S3L12,S3L12 LBI OPEN,1,11,,,,17,1,,RELAY,MES3L12RELAY,172.16.3.81,1,17,,
35220,ME,S3L12,S3L12 LBI CLOSE,1,11,,,,17,0,,RELAY,MES3L12RELAY,172.16.3.81,1,17,,
35235,ME,T1SP,ME TX1 TANK SUDDEN PRS,1,11,4,6,,,,,STATUS,MET1SPSTATUS,172.16.3.81,1,37,,
35236,ME,TX1LO,ME TX1 TANK LO OIL,1,11,4,7,,,,,STATUS,METX1LOSTATUS,172.16.3.81,1,38,,
