QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,Full Point Name,OSI SCADA ID,IP,DNP Address,DNP Point #,,
32208,ME,3GT,ME BKR 3 GRND TRIP BLOCK,1,11,0,10,,,,,STATUS,STATUS3GT,ME3GT,1041018,172.16.3.81,1,92,92,1
32208,ME,3GT,BRK #3 GROUND TRIP DISABLED,1,11,,,,10,1,,RELAY,RELAY3GT,ME3GT,1041018,172.16.3.81,1,30,92,0
32208,ME,3GT,BRK #3 GROUND TRIP ENABLED,1,11,,,,10,0,,RELAY,RELAY3GT,ME3GT,1041018,172.16.3.81,1,30,92,0
33187,ME,TX1K1,ME TX1 VOLT CONTROL K1,1,11,2,4,,,,,STATUS,STATUSTX1K1,METX1K1,1041019,172.16.3.81,1,52,52,1
33187,ME,TX1K1,TX VOLT CONTROL K1 SET,1,11,,,,21,1,,RELAY,RELAYTX1K1,METX1K1,1041019,172.16.3.81,1,9,52,0
33187,ME,TX1K1,TX VOLT CONTROL K1 RESET,1,11,,,,21,0,,RELAY,RELAYTX1K1,METX1K1,1041019,172.16.3.81,1,9,52,0
33188,ME,TX1K2,ME TX1 VOLT CONTROL K2,1,11,2,5,,,,,STATUS,STATUSTX1K2,METX1K2,1041020,172.16.3.81,1,53,53,1
33188,ME,TX1K2,TX1 VOLT CONTROL K2 SET,1,11,,,,22,1,,RELAY,RELAYTX1K2,METX1K2,1041020,172.16.3.81,1,10,53,0
33188,ME,TX1K2,TX1 VOLT CONTROL K2 RESET,1,11,,,,22,0,,RELAY,RELAYTX1K2,METX1K2,1041020,172.16.3.81,1,10,53,0
33230,ME,35C106,ME TX1 387E ALARM COMM,1,11,1,0,,,,,STATUS,STATUS35C106,ME35C106,1041021,172.16.3.81,1,119,119,1
34002,ME,MTXSC,MOBIL TX SELF CK,1,11,7,2,,,,,STATUS,STATUSMTXSC,MEMTXSC,1041022,172.16.3.81,1,#N/A,#N/A,#N/A
34268,ME,MTXTOT,MOBIL TX HOT OIL TEMP,1,11,7,1,,,,,STATUS,STATUSMTXTOT,MEMTXTOT,1041023,172.16.3.81,1,#N/A,#N/A,#N/A
34992,ME,3LR,ME BKR 3 LOC/REM SW,1,11,0,11,,,,,STATUS,STATUS3LR,ME3LR,1041024,172.16.3.81,1,93,93,1
34993,ME,4GT,ME BKR 4 GRND TRIP BLOCK,1,11,0,14,,,,,STATUS,STATUS4GT,ME4GT,1041025,172.16.3.81,1,104,104,1
34993,ME,4GT,BKR 4 GND TRIP DISABLED,1,11,,,,14,1,,RELAY,RELAY4GT,ME4GT,1041025,172.16.3.81,1,35,104,0
34993,ME,4GT,BKR 4 GND TRIP ENABLED,1,11,,,,14,0,,RELAY,RELAY4GT,ME4GT,1041025,172.16.3.81,1,35,104,0
34994,ME,4LR,ME BKR 4 LOC/REM SW,1,11,0,15,,,,,STATUS,STATUS4LR,ME4LR,1041026,172.16.3.81,1,105,105,1
34995,ME,351SC1,ME BKR 1 RELAY FAIL,1,11,1,1,,,,,STATUS,STATUS351SC1,ME351SC1,1041027,172.16.3.81,1,188,188,1
34996,ME,351SC2,ME BKR 2 RELAY FAIL,1,11,1,2,,,,,STATUS,STATUS351SC2,ME351SC2,1041028,172.16.3.81,1,189,189,1
34997,ME,351SC3,ME BKR 3 RELAY FAIL,1,11,1,3,,,,,STATUS,STATUS351SC3,ME351SC3,1041029,172.16.3.81,1,190,190,1
34998,ME,351SC4,ME BKR 4 RELAY FAIL,1,11,1,4,,,,,STATUS,STATUS351SC4,ME351SC4,1041030,172.16.3.81,1,191,191,1
34999,ME,35C118,ME BKR 1 STATUS COMM,1,11,1,5,,,,,STATUS,STATUS35C118,ME35C118,1041031,172.16.3.81,1,131,131,1
35000,ME,35C119,ME BKR 2 STATUS COMM,1,11,1,6,,,,,STATUS,STATUS35C119,ME35C119,1041032,172.16.3.81,1,132,132,1
35001,ME,35C120,ME BKR 3 STATUS COMM,1,11,1,7,,,,,STATUS,STATUS35C120,ME35C120,1041033,172.16.3.81,1,133,133,1
