Name  ,Desc  ,Zones  ,PreSuffx  ,Comm_Line  ,RTU_Number  ,Scan_PT  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Alarm_Task  ,Alarm_Fmt  ,APoint_01  ,APoint_02  ,APoint_03  ,APoint_04  ,APoint_05  ,APoint_06  ,APoint_07  ,APoint_08  ,APoint_09  ,APoint_10  ,Param_01  ,Param_02  ,Param_03  
"SPR,RTU3    ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,3  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"RV,RTU     ",RIVERVIEW REMOTE SEL  ,6  ,0  ,6  ,41  ,"RV  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"RV  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"FL,RTU     ",FLORAHOME REMOTE  ,1  ,0  ,1  ,21  ,"FL  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FL  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"PH,RTU     ",PHIFER REMOTE  ,5  ,0  ,5  ,5  ,"PH  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"PH  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"CA,RTU     ",CARA REMOTE SEL  ,5  ,0  ,5  ,13  ,"CA  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"CA  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"WB,RTU     ",WALDO BKR RTU  ,1  ,0  ,1  ,17  ,"FB  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FB  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"FB,RTU     ",FT MCCOY SW RTU  ,6  ,0  ,6  ,43  ,"FB  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FB  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"HB,RTU     ",HAWTHORNE SW RTU  ,6  ,0  ,6  ,21  ,"HB  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"HB  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"WS,RTU     ",WORTHINGTON REMOTE  ,5  ,0  ,5  ,51  ,"WS  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"WS  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU007  ",NEW RIVER REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,97  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU61   ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,61  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU--   ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,11  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"KH,RTU     ",KEYSTONE HEIGHTS REMOTE  ,1  ,0  ,1  ,9  ,"KH  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"KH  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"G10,RTU     ",PUTNAM GEN RTU AT FR  ,8  ,0  ,6  ,37  ,"G10 ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"G10 ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU41   ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,41  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"FR,RTU     ",FRANCIS REMOTE  ,6  ,0  ,6  ,35  ,"FR  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FR  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"FI,RTU     ",FLEMING ISLAND REMOTESEL  ,1 2 3 4 5 6 7 8  ,0  ,4  ,59  ,"FI  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FI  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"NR,RTU     ",NEW RIVER REMOTE  ,3  ,0  ,3  ,13  ,"NR  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"NR  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"OPS,RTU     ",OPS DOORS REMOTE  ,7 8  ,0  ,8  ,43  ,"OPS ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,"OPS ,PERCT  ","OPS ,TIM  ","OPS ,BCH  ","OPS ,SOEPT  ","OPS ,POLERR  ",  ,  ,  ,  ,  ,0  ,10  ,0  
"AL,RTU     ",ALACHUA REMOTE SEL  ,5  ,0  ,5  ,3  ,"AL  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"AL  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"HL,RTU     ",HAILE REMOTE  ,5  ,0  ,5  ,19  ,"HL  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"HL  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU8    ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,8  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"BN,RTU     ",BN RTU (LC T-1 LINE)  ,2  ,0  ,2  ,47  ,"BN  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"BN  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"MI,RTU     ",MIDDLEBURG REMOTE  ,3  ,0  ,3  ,35  ,"MI  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"MI  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU10   ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,10  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
