record,name_to_match,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,FeedbackKey,pDeviceInstance,pCtrlState,pScale,HiControlLimit,LoControlLimit,Setpoint_emulation,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
76,"LA,6105S",76,1,"""01012033""","""LAKE ASBURY MOSW 6105S""",012,4,203,0,1,"""""","""""",65,"""""","""""","""""","""""","""""","LA,6105S   ",LAKE ASBURY MOSW 6105S  ,4  ,2,2  ,  ,  ,  ,0
77,"LA,S6106",77,2,"""01012034""","""LAKE ASBURY MOSW S6106""",012,4,203,0,1,"""""","""""",66,"""""","""""","""""","""""","""""","LA,S6106   ",LAKE ASBURY MOSW S6106  ,4  ,2,2  ,5  ,0  ,5  ,0
78,"LA,LRS",78,1,"""01012035""","""LA SUB LOC/REM SW""",012,4,214,0,1,"""""","""""",67,"""""","""""","""""","""""","""""","LA,LRS     ",LA SUB LOC/REM SW  ,4  ,13,3  ,  ,  ,  ,0
79,"LA,86T1",79,1,"""01012036""","""LA TX1 86T LOCKOUT""",012,4,215,0,1,"""""","""""",68,"""""","""""","""""","""""","""""","LA,86T1    ",LA TX1 86T LOCKOUT  ,4  ,14,3  ,  ,  ,  ,0
80,"LA,387SC",80,1,"""01012037""","""LA TX1 DIFF PROTECT FAIL""",012,4,227,0,1,"""""","""""",69,"""""","""""","""""","""""","""""","LA,387SC   ",LA TX1 DIFF PROTECT FAIL  ,4  ,26,3  ,  ,  ,  ,0
81,"LA,501SC",81,1,"""01012038""","""LA TX1 OVERCURRENT FAIL""",012,4,227,0,1,"""""","""""",70,"""""","""""","""""","""""","""""","LA,501SC   ",LA TX1 OVERCURRENT FAIL  ,4  ,26,3  ,  ,  ,  ,0
82,"LA,21T1SC",82,1,"""01012039""","""LA TX1 2100 FAIL""",012,4,227,0,1,"""""","""""",71,"""""","""""","""""","""""","""""","LA,21T1SC  ",LA TX1 2100 FAIL  ,4  ,26,3  ,  ,  ,  ,0
83,"LA,METSC1",83,1,"""01012040""","""LA TX1 METER FAIL""",012,4,227,0,1,"""""","""""",72,"""""","""""","""""","""""","""""","LA,METSC1  ",LA TX1 METER FAIL  ,4  ,26,3  ,  ,  ,  ,0
84,"LA,86TCM1",84,1,"""01012041""","""LA TX1 86T LOCKOUT TCM""",012,4,227,0,1,"""""","""""",73,"""""","""""","""""","""""","""""","LA,86TCM1  ",LA TX1 86T LOCKOUT TCM  ,4  ,26,3  ,  ,  ,  ,0
85,"SN,35C109",85,1,"""01064001""","""SN 2100-1 ALARM COM 9""",064,5,227,0,1,"""""","""""",3,"""""","""""","""""","""""","""""","SN,35C109  ",SN 2100-1 ALARM COM 9  ,5  ,26,5  ,  ,  ,  ,0
