32 FEP.DB
* 
	10	SCAN_DATA	0	14	35
*	Record	1s	RTAC_point_type	RTAC_address	RTAC_Number	RTAC IP	RTAC NAME	RTAC Abr	DNP Point Address	Name	DestinationKey
	177	1	1	208	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	178	1	1	209	17	172.16.3.81	Melrose	ME	208	"ME,FANHYD"	"01041001"
	179	1	1	210	17	172.16.3.81	Melrose	ME	209	"ME,SMOKE"	"01041001"
	180	1	1	211	17	172.16.3.81	Melrose	ME	210	"ME,BATPWR"	"01041001"
	181	1	1	212	17	172.16.3.81	Melrose	ME	211	"ME,BATTDC"	"01041001"
	182	1	1	213	17	172.16.3.81	Melrose	ME	212	"ME,BATGND"	"01041001"
	183	1	4	22	17	172.16.3.81	Melrose	ME	21	"ME,LTC1"	"01041001"
	184	1	4	23	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	185	1	4	24	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	186	1	4	25	17	172.16.3.81	Melrose	ME	24	"ME,RAV1"	"01041001"
	187	1	4	26	17	172.16.3.81	Melrose	ME	25	"ME,RBV1"	"01041001"
	188	1	4	27	17	172.16.3.81	Melrose	ME	26	"ME,RCV1"	"01041001"
	189	1	4	28	17	172.16.3.81	Melrose	ME	27	"ME,TX1A"	"01041001"
	190	1	4	29	17	172.16.3.81	Melrose	ME	28	"ME,TX1B"	"01041001"
	191	1	4	30	17	172.16.3.81	Melrose	ME	29	"ME,TX1C"	"01041001"
	192	1	4	31	17	172.16.3.81	Melrose	ME	30	"ME,KVA1M"	"01041001"
	193	1	4	32	17	172.16.3.81	Melrose	ME	31	"ME,TX1W"	"01041001"
	194	1	4	33	17	172.16.3.81	Melrose	ME	32	"ME,MV1"	"01041001"
	195	1	4	34	17	172.16.3.81	Melrose	ME	33	"ME,MV1-"	"01041001"
	196	1	4	35	17	172.16.3.81	Melrose	ME	34	"ME,PF1M"	"01041001"
	197	1	4	36	17	172.16.3.81	Melrose	ME	35	"ME,TX1FRQ"	"01041001"
	198	1	4	37	17	172.16.3.81	Melrose	ME	36	"ME,KWPHR1"	"01041001"
	199	1	4	38	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	200	1	4	39	17	172.16.3.81	Melrose	ME	38	"ME,THST1"	"01041001"
	201	1	4	40	17	172.16.3.81	Melrose	ME	39	"ME,THST2"	"01041001"
	202	1	4	41	17	172.16.3.81	Melrose	ME	40	"ME,THST3"	"01041001"
	203	1	4	42	17	172.16.3.81	Melrose	ME	41	"ME,TXTEMP"	"01041001"
	204	1	4	43	17	172.16.3.81	Melrose	ME	42	"ME,TCTEMP"	"01041001"
	205	1	4	44	17	172.16.3.81	Melrose	ME	43	"ME,TXABT"	"01041001"
	206	1	4	45	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	207	1	4	46	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	208	1	4	47	17	172.16.3.81	Melrose	ME	46	"ME,1A"	"01041001"
	209	1	4	48	17	172.16.3.81	Melrose	ME	47	"ME,1B"	"01041001"
	210	1	4	49	17	172.16.3.81	Melrose	ME	48	"ME,1C"	"01041001"
	211	1	4	50	17	172.16.3.81	Melrose	ME	49	"ME,1KW"	"01041001"
	212	1	4	51	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	213	1	4	52	17	172.16.3.81	Melrose	ME	51	"ME,1PF"	"01041001"
	214	1	4	53	17	172.16.3.81	Melrose	ME	52	"ME,2A"	"01041001"
	215	1	4	54	17	172.16.3.81	Melrose	ME	53	"ME,2B"	"01041001"
	216	1	4	55	17	172.16.3.81	Melrose	ME	54	"ME,2C"	"01041001"
	217	1	4	56	17	172.16.3.81	Melrose	ME	55	"ME,2KW"	"01041001"
	218	1	4	57	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	219	1	4	58	17	172.16.3.81	Melrose	ME	57	"ME,2PF"	"01041001"
	220	1	4	59	17	172.16.3.81	Melrose	ME	58	"ME,3A"	"01041001"
	221	1	4	60	17	172.16.3.81	Melrose	ME	59	"ME,3B"	"01041001"
	222	1	4	61	17	172.16.3.81	Melrose	ME	60	"ME,3C"	"01041001"
	223	1	4	62	17	172.16.3.81	Melrose	ME	61	"ME,3KW"	"01041001"
	224	1	4	63	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	225	1	4	64	17	172.16.3.81	Melrose	ME	63	"ME,3PF"	"01041001"
	226	1	4	65	17	172.16.3.81	Melrose	ME	64	"ME,4A"	"01041001"
	227	1	4	66	17	172.16.3.81	Melrose	ME	65	"ME,4B"	"01041001"
	228	1	4	67	17	172.16.3.81	Melrose	ME	66	"ME,4C"	"01041001"
	229	1	4	68	17	172.16.3.81	Melrose	ME	67	"ME,4KW"	"01041001"
	230	1	4	69	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	231	1	4	70	17	172.16.3.81	Melrose	ME	69	"ME,4PF"	"01041001"
	232	1	4	71	17	172.16.3.81	Melrose	ME	70	"ME,DCV"	"01041001"
	233	1	1	22	36	172.17.4.81	Double Branch	DB	21	"DB,6133S"	"01014008"
	234	1	1	23	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	235	1	1	24	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	236	1	1	25	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	237	1	1	26	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	238	1	1	27	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	239	1	1	28	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	240	1	1	29	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	241	1	1	30	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	242	1	1	31	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	243	1	1	32	36	172.17.4.81	Double Branch	DB	31	"DB,T1F1AC"	"01014008"
	244	1	1	33	36	172.17.4.81	Double Branch	DB	32	"DB,T1F2AC"	"01014008"
	245	1	1	34	36	172.17.4.81	Double Branch	DB	33	"DB,TX1NHI"	"01014008"
	246	1	1	35	36	172.17.4.81	Double Branch	DB	34	"DB,TX1NLO"	"01014008"
	247	1	1	36	36	172.17.4.81	Double Branch	DB	35	"DB,T1NCLO"	"01014008"
	248	1	1	37	36	172.17.4.81	Double Branch	DB	36	"DB,T1PR"	"01014008"
	249	1	1	38	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	250	1	1	39	36	172.17.4.81	Double Branch	DB	38	"DB,TX1LO"	"01014008"
	251	1	1	40	36	172.17.4.81	Double Branch	DB	39	"DB,TX1HI"	"01014008"
	252	1	1	41	36	172.17.4.81	Double Branch	DB	40	"DB,T1CPWR"	"01014008"
	253	1	1	42	36	172.17.4.81	Double Branch	DB	41	"DB,LTC1LO"	"01014008"
	254	1	1	43	36	172.17.4.81	Double Branch	DB	42	"DB,TC1PWR"	"01014008"
	255	1	1	44	36	172.17.4.81	Double Branch	DB	43	"DB,TCP1"	"01014008"
	256	1	1	45	36	172.17.4.81	Double Branch	DB	44	"DB,LTCMT1"	"01014008"
	257	1	1	46	36	172.17.4.81	Double Branch	DB	45	"DB,TCPR1"	"01014008"
	258	1	1	47	36	172.17.4.81	Double Branch	DB	46	"DB,86X1"	"01014008"
