Point ID,Station,Pnuemonic,Description,COM,RTU,Pg,Status P,Analog P,Relay P,Value,Scale,Type,Helper Column,IP Address,DNPAddress,DNP Point,,
32700,DB,2GT,BKR 2 GRND TRIP ENABLE,3,7,,,,22,0,,RELAY,DB2GTRELAY,172.17.4.81,1,25,,
32701,DB,2LR,DB BKR 2 LOC/REM SW,3,7,3,14,,,,,STATUS,DB2LRSTATUS,172.17.4.81,1,81,,
32702,DB,3R,DB BKR 3 RECLOSER,3,7,3,15,,,,,STATUS,DB3RSTATUS,172.17.4.81,1,91,,
32702,DB,3R,BKR 3 RECLOSE OFF,3,7,,,,23,1,,RELAY,DB3RRELAY,172.17.4.81,1,29,,
32702,DB,3R,BKR 3 RECLOSE ON,3,7,,,,23,0,,RELAY,DB3RRELAY,172.17.4.81,1,29,,
06917,DB,TX1A,DB TX1 LS A AMPS,3,7,,,3,,,0.8,ANALOG,DBTX1AANALOG,172.17.4.81,1,27,,
32703,DB,3GT,DB BKR 3 GRND TRIP BLK,3,7,4,0,,,,,STATUS,DB3GTSTATUS,172.17.4.81,1,92,,
32703,DB,3GT,DB BKR 3 GRND TRIP BLOCKED,3,7,,,,24,1,,RELAY,DB3GTRELAY,172.17.4.81,1,30,,
32703,DB,3GT,DB BKR 3 GRND TRIP NORMAL,3,7,,,,24,0,,RELAY,DB3GTRELAY,172.17.4.81,1,30,,
32705,DB,3LR,DB BKR 3 LOC/REM SW,3,7,4,1,,,,,STATUS,DB3LRSTATUS,172.17.4.81,1,93,,
32706,DB,35C101,DB BKR 1 CTRL COM,3,7,4,2,,,,,STATUS,DB35C101STATUS,172.17.4.81,1,114,,
32707,DB,35C102,DB BKR 2 CTRL COM,3,7,4,3,,,,,STATUS,DB35C102STATUS,172.17.4.81,1,115,,
32708,DB,35C103,DB BKR 3 CTRL COM,3,7,4,4,,,,,STATUS,DB35C103STATUS,172.17.4.81,1,116,,
32709,DB,35C118,DB BKR 1 STA COM,3,7,4,5,,,,,STATUS,DB35C118STATUS,172.17.4.81,1,131,,
32710,DB,35C119,DB BKR 2 STA COM,3,7,4,6,,,,,STATUS,DB35C119STATUS,172.17.4.81,1,132,,
32711,DB,35C120,DB BKR 3 STA COM,3,7,4,7,,,,,STATUS,DB35C120STATUS,172.17.4.81,1,133,,
32741,DB,35C123,DB TX1 2505 STA/CTRL COM,3,7,4,8,,,,,STATUS,DB35C123STATUS,172.17.4.81,1,136,,
32749,DB,35C127,DB MOSW STA/CTRL COM,3,7,4,9,,,,,STATUS,DB35C127STATUS,172.17.4.81,1,140,,
32750,DB,35C125,DB LS 2505 STA/CTRL COM,3,7,4,10,,,,,STATUS,DB35C125STATUS,172.17.4.81,1,138,,
32751,DB,387SC2,DB TX2 DIFF PROT FAIL,3,7,4,11,,,,,STATUS,DB387SC2STATUS,172.17.4.82,1,175,,
32752,DB,501SC2,DB TX2 OVERCURRENT FAIL,3,7,4,12,,,,,STATUS,DB501SC2STATUS,172.17.4.82,1,176,,
32754,DB,21T2SC,DB TX2 2100 FAIL,3,7,4,13,,,,,STATUS,DB21T2SCSTATUS,172.17.4.82,1,179,,
32755,DB,MET2SC,DB TX2 735 METER FAIL,3,7,4,14,,,,REV 4MAT,STATUS,DBMET2SCSTATUS,172.17.4.82,1,180,,
32756,DB,86TCM2,DB TX2 86T LCKOUT TCM,3,7,4,15,,,,,STATUS,DB86TCM2STATUS,172.17.4.82,1,200,,
06918,DB,TX1B,DB TX1 LS B AMPS,3,7,,,4,,,0.8,ANALOG,DBTX1BANALOG,172.17.4.81,1,28,,
32683,DB,94TCM2,DB TX2 94T TCM,3,7,5,0,,,,,STATUS,DB94TCM2STATUS,172.17.4.82,1,205,,
32757,DB,T2HIAL,DB TX2 CRIT HI TEMP,3,7,5,1,,,,,STATUS,DBT2HIALSTATUS,172.17.4.82,1,56,,
32775,DB,35T2SC,DB TX2 3530 FAIL,3,7,5,2,,,,,STATUS,DB35T2SCSTATUS,172.17.4.82,1,173,,
32758,DB,24T2SC,DB TX2 2411 FAIL,3,7,5,3,,,,,STATUS,DB24T2SCSTATUS,172.17.4.82,1,188,,
32759,DB,TX2TOT,DB TX2 HOT OIL TEMP,3,7,5,4,,,,,STATUS,DBTX2TOTSTATUS,172.17.4.82,1,49,,
32762,DB,TX2HS,DB TX2 HOT SPOT,3,7,5,5,,,,,STATUS,DBTX2HSSTATUS,172.17.4.82,1,50,,
32764,DB,TX2LR,DB TX2 LOC/REM SW,3,7,5,6,,,,,STATUS,DBTX2LRSTATUS,172.17.4.82,1,51,,
32765,DB,TX2K1,DB TX2 VOLT CTRL K1,3,7,5,7,,,,,STATUS,DBTX2K1STATUS,172.17.4.82,1,52,,
32765,DB,TX2K1,TX2 VOLT CTRL K1 ON,3,7,,,,25,1,,RELAY,DBTX2K1RELAY,172.17.4.82,1,9,,
32765,DB,TX2K1,TX2 VOLT CTRL K1 OFF,3,7,,,,25,0,,RELAY,DBTX2K1RELAY,172.17.4.82,1,9,,
32766,DB,TX2K2,DB TX2 VOLT CTRL K2,3,7,5,8,,,,,STATUS,DBTX2K2STATUS,172.17.4.82,1,53,,
