Name  ,Desc  ,Zones  ,PType  ,DevClass  ,PreSuffx  ,Telem_CL  ,Telem_RTU  ,Telem_A  ,Telem_B  ,Telem_C  ,Open_CL  ,Open_RTU  ,Open_A  ,Open_B  ,Open_C  ,Open_D  ,Close_CL  ,Close_RTU  ,Close_A  ,Close_B  ,Close_C  ,Close_D  ,StatFmt  ,CntlInt  ,DevTO  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Normal_State  ,Dual_Normal  ,Alarm_Task  ,Annc_Delay  ,Alarm_Fmt  ,Meter_PT  
"LA,2411SC  ",TX 2411 SELF CHECK  ,4  ,25  ,2  ,26  ,4  ,33  ,1  ,0  ,6  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,TOT     ",LAKE ASBURY TX HOT OIL  ,4  ,25  ,2  ,8  ,4  ,33  ,1  ,0  ,7  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,THS     ",LA TX HOT SPOT  ,4  ,25  ,2  ,8  ,4  ,33  ,1  ,0  ,8  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"LA,TXLR    ",LA TX LOC/REM SW  ,4  ,27  ,2  ,13  ,4  ,33  ,1  ,0  ,9  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"LA,K1      ",LA VOLT CONTROL K1  ,4  ,28  ,3  ,17  ,4  ,33  ,1  ,0  ,10  ,4  ,33  ,25  ,0  ,0  ,1  ,4  ,33  ,25  ,0  ,0  ,0  ,0  ,0  ,10  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,  
"LA,K2      ",LA VOLT CONTROL K2  ,4  ,28  ,3  ,17  ,4  ,33  ,1  ,0  ,11  ,4  ,33  ,26  ,0  ,0  ,1  ,4  ,33  ,26  ,0  ,0  ,0  ,0  ,0  ,10  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,  
"LA,TCA     ",LA LTC AUTO/MAN  ,4  ,24  ,2  ,20  ,4  ,33  ,1  ,0  ,12  ,4  ,33  ,24  ,0  ,0  ,1  ,4  ,33  ,24  ,0  ,0  ,0  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,60  ,130  ,  
"LA,LTCAL   ",LA LTC GEN ALARM  ,4  ,22  ,2  ,26  ,4  ,33  ,1  ,0  ,13  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"WB,TCM1    ",WB BKR TRIP-COIL MON 1  ,1  ,22  ,2  ,26  ,1  ,17  ,1  ,0  ,2  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"PS,GCTS1   ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,32  ,3  ,15  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,  
"LA,25MOCP  ",LA MOSW 2505-2 2100 CP 7  ,4  ,22  ,2  ,26  ,4  ,33  ,2  ,0  ,0  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,60  ,130  ,  
"LA,25MOSC  ",LA MOSW 2505-2 SELF CHEC  ,4  ,22  ,2  ,26  ,4  ,33  ,2  ,0  ,1  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
