record,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,pDeviceInstance,pCtrlState,pScale,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
4504.0,4504.0,5.0,"""02031004""","""RIVERVIEW FAST SCAN""",031,6.0,226.0,0.0,1.0,"""""",6.0,"""""","""""","RV,FS      ",RIVERVIEW FAST SCAN  ,6  ,25.0,  ,  ,  ,  ,0.0
4505.0,4505.0,1.0,"""01068069""","""TX2 2411 SELF CHECK""",068,5.0,227.0,0.0,1.0,"""""",628.0,"""""","""""","HL,24T2SC  ",TX2 2411 SELF CHECK  ,5  ,26.0,1  ,  ,  ,  ,0.0
4506.0,4506.0,1.0,"""01068070""","""TX2 HOT SPOT""",068,5.0,227.0,0.0,1.0,"""""",2286.0,"""""","""""","HL,TX2THS  ",TX2 HOT SPOT  ,5  ,26.0,1  ,  ,  ,  ,0.0
4507.0,4507.0,1.0,"""01068071""","""TX2 LOC/REM SW""",068,5.0,214.0,0.0,1.0,"""""",418.0,"""""","""""","HL,TX2LR   ",TX2 LOC/REM SW  ,5  ,13.0,1  ,  ,  ,  ,0.0
4508.0,4508.0,3.0,"""41068003""","""TX2 LTC AUTO MAN""",068,5.0,221.0,0.0,1.0,"""""",214.0,"""""","""""","HL,TCA2    ",TX2 LTC AUTO MAN  ,5  ,20.0,1  ,0  ,0  ,0  ,0.0
4509.0,4509.0,1.0,"""01031030""","""TX1 2411-1 SELF CHECK""",031,6.0,227.0,0.0,1.0,"""""",624.0,"""""","""""","RV,24T1SC  ",TX1 2411-1 SELF CHECK  ,6  ,26.0,5  ,  ,  ,  ,0.0
4510.0,4510.0,1.0,"""01031031""","""TX1 2411-1 2032 CP 10""",031,6.0,227.0,0.0,1.0,"""""",1088.0,"""""","""""","RV,32CTX1  ",TX1 2411-1 2032 CP 10  ,6  ,26.0,6  ,  ,  ,  ,0.0
4511.0,4511.0,2.0,"""01015071""","""BW REG A VOLT CONTROL K1""",015,4.0,218.0,0.0,1.0,"""""",1148.0,"""""","""""","BW,K1REGA  ",BW REG A VOLT CONTROL K1  ,4  ,17.0,5  ,32  ,0  ,33  ,0.0
4512.0,4512.0,8.0,"""12027009""","""PSEUDO SWITCH""",027,10.0,216.0,0.0,1.0,"""""",2287.0,"""""","""""","PS,RS3SV2  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4513.0,4513.0,1.0,"""01002093""","""TX1 TANK PRESSURE RELIEF""",002,4.0,211.0,0.0,1.0,"""""",438.0,"""""","""""","BY,T1PR    ",TX1 TANK PRESSURE RELIEF  ,4  ,10.0,7  ,  ,  ,  ,0.0
4514.0,4514.0,1.0,"""01002094""","""TX1 TANK NITRO HIGH PRES""",002,4.0,211.0,0.0,1.0,"""""",1092.0,"""""","""""","BY,TX1NHI  ",TX1 TANK NITRO HIGH PRES  ,4  ,10.0,7  ,  ,  ,  ,0.0
4515.0,4515.0,1.0,"""01002095""","""TX1 TANK LOW OIL""",002,4.0,210.0,0.0,1.0,"""""",178.0,"""""","""""","BY,TX1LO   ",TX1 TANK LOW OIL  ,4  ,9.0,7  ,  ,  ,  ,0.0
4516.0,4516.0,1.0,"""01002096""","""TX1 NITRO BOTTLE LOW PRS""",002,4.0,210.0,0.0,1.0,"""""",1146.0,"""""","""""","BY,T1NBLO  ",TX1 NITRO BOTTLE LOW PRS  ,4  ,9.0,7  ,  ,  ,  ,0.0
4517.0,4517.0,5.0,"""02009004""","""614610D53,54,55""",009,10.0,216.0,0.0,1.0,"""""",2288.0,"""""","""""","PS,FM4DIS  ","614610D53,54,55  ",1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4518.0,4518.0,1.0,"""01032054""","""SECI F809 C/S BYPASS SW""",032,1.0,216.0,0.0,1.0,"""""",2289.0,"""""","""""","FL,F809    ",SECI F809 C/S BYPASS SW  ,1  ,15.0,4  ,  ,  ,  ,0.0
4519.0,4519.0,1.0,"""01032055""","""MOBIL TX SELF CHECK""",032,1.0,227.0,0.0,1.0,"""""",412.0,"""""","""""","FL,MTXSC   ",MOBIL TX SELF CHECK  ,1  ,26.0,6  ,  ,  ,  ,0.0
4520.0,4520.0,5.0,"""02055118""","""RUN ALL VR1""",055,10.0,231.0,0.0,1.0,"""""",2290.0,"""""","""""","PS,CMSQ72  ",RUN ALL VR1  ,1 2 3 4 5 6 7 8  ,30.0,  ,  ,  ,  ,0.0
4521.0,4521.0,1.0,"""01032056""","""SECI MOSW F8246 TO KH""",032,1.0,203.0,0.0,1.0,"""""",2291.0,"""""","""""","FL,F8246   ",SECI MOSW F8246 TO KH  ,1  ,2.0,2  ,  ,  ,  ,0.0
4522.0,4522.0,1.0,"""01002097""","""TX1 LTC TANK LOW OIL""",002,4.0,210.0,0.0,1.0,"""""",505.0,"""""","""""","BY,LTC1LO  ",TX1 LTC TANK LOW OIL  ,4  ,9.0,7  ,  ,  ,  ,0.0
4523.0,4523.0,1.0,"""01002098""","""TX1 LTC LOSS OF POWER""",002,4.0,205.0,0.0,1.0,"""""",409.0,"""""","""""","BY,TC1PWR  ",TX1 LTC LOSS OF POWER  ,4  ,4.0,7  ,  ,  ,  ,0.0
4524.0,4524.0,1.0,"""01002099""","""TX2 TANK NITRO LOW PRES""",002,4.0,210.0,0.0,1.0,"""""",503.0,"""""","""""","BY,TX2NLO  ",TX2 TANK NITRO LOW PRES  ,4  ,9.0,8  ,  ,  ,  ,0.0
4525.0,4525.0,1.0,"""01019167""","""LTC2 LOSS OF POWER""",019,4.0,205.0,0.0,1.0,"""""",2224.0,"""""","""""","FI,TC2PWR  ",LTC2 LOSS OF POWER  ,4  ,4.0,13  ,  ,  ,  ,0.0
4526.0,4526.0,1.0,"""01002100""","""TX2 TANK NITRO HIGH PRES""",002,4.0,211.0,0.0,1.0,"""""",121.0,"""""","""""","BY,TX2NHI  ",TX2 TANK NITRO HIGH PRES  ,4  ,10.0,8  ,  ,  ,  ,0.0
4527.0,4527.0,1.0,"""01025036""","""PH 2L11S LBI""",025,5.0,216.0,0.0,1.0,"""""",2292.0,"""""","""""","PH,2L11S   ",PH 2L11S LBI  ,5  ,15.0,2  ,  ,  ,  ,0.0
4528.0,4528.0,5.0,"""02009005""","""614610D1,2,3""",009,10.0,216.0,0.0,1.0,"""""",2293.0,"""""","""""","PS,FM3TS4  ","614610D1,2,3  ",1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
4529.0,4529.0,1.0,"""01002101""","""TX2 LTC TANK LOW OIL""",002,4.0,210.0,0.0,1.0,"""""",995.0,"""""","""""","BY,LTC2LO  ",TX2 LTC TANK LOW OIL  ,4  ,9.0,8  ,  ,  ,  ,0.0
4530.0,4530.0,1.0,"""01002102""","""TX2 2411-2 CPORT 11""",002,4.0,227.0,0.0,1.0,"""""",1562.0,"""""","""""","BY,32CTX2  ",TX2 2411-2 CPORT 11  ,4  ,26.0,8  ,  ,  ,  ,0.0
4531.0,4531.0,1.0,"""01002103""","""TX2 LTC LOSS OF POWER""",002,4.0,205.0,0.0,1.0,"""""",2224.0,"""""","""""","BY,TC2PWR  ",TX2 LTC LOSS OF POWER  ,4  ,4.0,8  ,  ,  ,  ,0.0
4532.0,4532.0,2.0,"""01002104""","""TX2 STAGE2 FANS""",002,4.0,218.0,0.0,1.0,"""""",1308.0,"""""","""""","BY,T2FAN2  ",TX2 STAGE2 FANS  ,4  ,17.0,8  ,47  ,0  ,46  ,0.0
4533.0,4533.0,1.0,"""01002105""","""TX2 TAP CHNGR OFF TAP""",002,4.0,223.0,0.0,1.0,"""""",835.0,"""""","""""","BY,TCP2    ",TX2 TAP CHNGR OFF TAP  ,4  ,22.0,8  ,  ,  ,  ,0.0
4534.0,4534.0,2.0,"""01002106""","""TX2 STAGE1 FANS""",002,4.0,218.0,0.0,1.0,"""""",1925.0,"""""","""""","BY,T2FAN1  ",TX2 STAGE1 FANS  ,4  ,17.0,8  ,45  ,0  ,44  ,0.0
