record,OrderNo,Type,Name_match,Key,Name,Stn,AOR,"77,0","77,1","77,2","77,3","77,4","78,0","78,1","78,2","78,3","78,4","91,1","91,2","91,3","91,4","91,5",pScale EU_Hi,AlarmGrp,ICAddress,pUNIT,RawCountFormat
996,996,1,"FA,1A      ","""03060017""","""FA 1A AMPS-BKR TRIP""",060,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1200.0,1,,1,1
997,997,1,"BR,3B      ","""03029022""","""BR BRK 3 B AMPS BRK TRIP""",029,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
998,998,1,"NR,6151AV  ","""03051008""","""A VOLTS""",051,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,354.131,1,,5,1
999,999,2,"PH,PDY     ","""04025006""","""PREVIOUS DAY DEMAND""",025,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
1000,1000,1,"AL,TX1FRQ  ","""03017029""","""AL TX1 FREQUENCY METER""",017,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,7,1
1001,1001,2,"AS,PDY     ","""04074003""","""PREVIOUS DAY DEMAND""",074,7,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
1002,1002,1,"RV,DCV     ","""03031027""","""SECI DC VOLTS""",031,6,136  ,136.5  ,0,0,140  ,128.5,126.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,149.9835,1,,5,1
1003,1003,1,"MX,TX1W    ","""03033010""","""MX TX1 WATTS""",033,3,19000  ,20000  ,0,0,22400  ,-10,-400  ,0,0,-1000  ,0.0,0.0,0.0,1.0,1.0,98256.0,1,,3,1
1004,1004,2,"NR,PDY     ","""04051010""","""PREVIOUS DAY DEMAND""",051,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
1005,1005,2,"RD,WT      ","""04036011""","""RIDGEWOOD TOTAL WATTS""",036,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
1006,1006,2,"PP,PDY     ","""04037008""","""PREVIOUS DAY DEMAND""",037,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
1007,1007,1,"LC,TX2FRQ  ","""03023033""","""LC TX2 FREQUENCY""",023,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,7,1
1008,1008,1,"LY,6A      ","""03042018""","""BKR 6 A AMPS""",042,7,440  ,490  ,0,0,540  ,-10,-10  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
1009,1009,1,"HL,MV2     ","""03070008""","""HL TX2 VARS LAG""",070,5,5000  ,6000  ,0,0,14400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,54587.35,1,,4,1
1010,1010,2,"LC,TUPDY   ","""04023029""","""PREVIOUS DAY DEMAND""",023,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
1011,1011,1,"RD,P1      ","""03036012""","""RD TX1 PULSE ACCUMULATOR""",036,4,999995,999996,0,0,999999,1,-2  ,0,0,-4  ,0.0,0.0,0.0,1.0,1.0,4.8,1,,3,1
1012,1012,1,"FA,DCV     ","""03060018""","""FARNSWORTH DC VOLTS""",060,5,135  ,136.5  ,0,0,140  ,128.5,126.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,150.0,1,,5,1
1013,1013,1,"FA,1B      ","""03060019""","""FA 1B AMPS-BKR TRIP""",060,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1200.0,1,,1,1
1014,1014,1,"AL,PF2M    ","""03017030""","""AL TX2 POWER FACTOR MET""",017,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
1015,1015,1,"AS,P1      ","""03074006""","""AS ACCUMULATOR PEF""",074,7,999995,999996,0,0,999999,1,-2  ,0,0,-4  ,0.0,0.0,0.0,1.0,1.0,3.6,1,,3,1
1016,1016,2,"RD,KV1AVG  ","""04036012""","""TX1 KVA AVERAGE""",036,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
1017,1017,1,"PP,P       ","""03037007""","""PP ACCUMULATOR  FPL""",037,7,999995,999996,0,0,999999,1,-2  ,0,0,-4  ,0.0,0.0,0.0,1.0,1.0,2.4,1,,3,1
1018,1018,1,"WE,RAV2    ","""03069011""","""WE TX2 REG A VOLTS""",069,4,127.5  ,129  ,0,0,150  ,120,118.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
1019,1019,2,"LC,TUCMT   ","""04023030""","""CURRENT MONTH DEMAND""",023,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
1020,1020,1,"HL,MV2-    ","""03070009""","""HL TX2 VARS LEAD""",070,5,5000  ,6000  ,0,0,14400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,54587.35,1,,4,1
