* 
	5	ANALOG	0	1	3	4	5	10	23	24	42	77,4	77,1	77,0	78,0	78,1	78,4	91,1	91,2	91,3	91,4	91,5	66
*	record	OrderNo	Type	Key	Name	Stn	AOR	pUNIT	pScale EU_Hi	AlarmGrp	77,4	77,1	77,0	78,0	78,1	78,4	NomPairInactive91,1	91,2	91,3	91,4	91,5	ICAddress
	121	121	2	"04053001"	"SECI CURRENT MONTH PEAK"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	122	122	1	"03011012"	"MI TX1 WATTS"	011	3	3	65504.0	1	44800  	40000  	38000  	-38000	-40000  	-44800  	0.0	0.0	0.0	1.0	1.0	
	123	123	1	"03038001"	"KH TEMPERATURE"	038	1	14	150.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	124	124	1	"03033004"	"MX TX1 REG C TAP POS"	033	3	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	125	125	1	"03070001"	"TX2 FREQUENCY METER"	070	5	9	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	126	126	1	"03045002"	"TUSTENUGGEE ACCUMULATOR"	045	3	3	14.4	1	999999	999996	999995	1	-2  	-4  	0.0	0.0	0.0	1.0	1.0	
	127	127	2	"04027001"	"RS ACCUM CUR HOUR TOT"	027	10	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	128	128	2	"04045001"	"TU,W =LC W655W"	045	3	3	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	129	129	1	"03011013"	"MI TX2 REG B VOLTS"	011	3	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	130	130	1	"03011014"	"MI TX2 REG C VOLTS"	011	3	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	131	131	1	"03011015"	"MI TX2 LS A AMPS"	011	3	1	1637.6	1	1549  	1500  	1450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	132	132	2	"04011001"	"MIDDLEBURG WATT TOTAL"	011	3	3	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	133	133	2	"04037001"	"WATTS"	037	5	10	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	134	134	2	"04017003"	"AL PREV HR DEMAND TOTAL"	017	5	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	135	135	1	"03011016"	"MI TX1 VARS LAG"	011	3	4	65504.0	1	14400  	6000  	5000  	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	136	136	1	"03011017"	"MI BKR 2A AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	137	137	1	"03011018"	"MI BKR 2B AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	138	138	1	"03011019"	"MI BKR 2C AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	139	139	1	"03007001"	"BC BKR 6W55 VARS"	007	3	4	108000.0	1	103500  	60000  	55000  	-10000	-12000  	-15000  	0.0	0.0	0.0	1.0	1.0	
	140	140	1	"03039002"	"BN FDR 4 WATTS"	039	3	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	141	141	2	"04048001"	"SEM PEAK"	048	2	15	1.0	1	10000  	10000  	10000  	-100	-300  	-400  	0.0	0.0	0.0	1.0	1.0	
	142	142	2	"04053002"	"CEC LM PEAK"	053	2	15	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	143	143	2	"04040001"	""	040	10	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	144	144	2	"04012012"	"LA KVA AVERAGE"	012	4	3	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	145	145	1	"03043001"	"PULSE ACCUMULATOR CEC"	043	7	3	3.6	1	999999	999996	999995	1	-2  	-4  	0.0	0.0	0.0	1.0	1.0	
	146	146	1	"03073001"	"WO DC VOLTS"	073	3	5	149.9835	1	140  	136.5  	135.5  	128.5	126.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	147	147	2	"04058001"	"MOBILE TX WATTS CALC 133"	058	9	3	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	148	148	1	"03019001"	"TX1 WINDING 1 TEMP"	019	4	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	149	149	1	"03038002"	"KH WIND SPEED"	038	1	2	100.0	1	99  	74  	35  	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	150	150	3	"99055001"	"PERVENT CALCED FAILURE"	055	10	3	1.0	1	3750  	3500  	3400  	-10	-500  	-1000  	0.0	0.0	0.0	1.0	1.0	
	151	151	1	"03019002"	"TX1 WINDING 2 TEMP"	019	4	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	152	152	1	"03023002"	"LC TX2 KVA METER"	023	3	10	65504.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	153	153	2	"04038003"	"KH 1 CALI DEMAND"	038	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	154	154	2	"04004001"	"PREVIOUS DAY DEMAND"	004	1	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	155	155	2	"04020001"	""	020	10	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	156	156	2	"04049001"	"PULSE TOTAL"	049	6	3	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
