*
	41	ANALOG_CONFIG	0	9
*	KEY	pDeviceInstance
	789	"03029016"	3092
	790	"03019019"	3350
	791	"03022006"	3086
	792	"03058031"	3375
	793	"04065029"	3110
	794	"03031007"	3376
	795	"03008026"	3170
	796	"04008006"	3126
	797	"04053021"	3377
	798	"04065030"	3378
	799	"03023028"	3144
	800	"04045004"	3110
	801	"03049001"	3145
	802	"04051006"	3110
	803	"04007019"	3379
	804	"03042011"	3075
	805	"03015015"	3131
	806	"03045018"	3380
	807	"03045019"	3381
	808	"03045020"	3382
	809	"03028002"	3071
	810	"03028003"	3083
	811	"04011003"	3205
	812	"03068004"	3210
	813	"03031008"	3137
	814	"03031009"	3138
	815	"03031010"	3139
	816	"03031011"	3130
	817	"03031012"	3131
	818	"03031013"	3132
	819	"03059012"	3085
	820	"03022007"	3087
	821	"03022008"	3088
	822	"03031014"	3091
	823	"03031015"	3092
	824	"03031016"	3093
	825	"03031017"	3134
	826	"03031018"	3135
	827	"03031019"	3136
	828	"03031020"	3094
	829	"04031004"	3110
	830	"03023029"	3090
	831	"04007020"	3155
	832	"03041007"	3094
	833	"03023030"	3229
	834	"04007021"	3383
	835	"04007022"	3384
	836	"04065031"	3384
	837	"04056006"	3385
	838	"04036007"	3169
	839	"03041008"	3095
	840	"03051006"	3386
	841	"03036008"	3099
	842	"04036008"	3371
	843	"04046005"	3104
	844	"04007023"	3387
	845	"04065032"	3388
	846	"04007024"	3389
	847	"04007025"	3103
	848	"04007026"	3108
	849	"04007027"	3101
	850	"04007028"	3105
	851	"04007029"	3102
	852	"04007030"	3106
	853	"04007031"	3104
	854	"04007032"	3109
	855	"03051007"	3390
	856	"03058032"	3391
	857	"03004015"	3093
	858	"04051007"	3108
	859	"03004016"	3089
	860	"03058033"	3392
	861	"03004017"	3072
	862	"04065033"	3393
	863	"03041009"	3096
	864	"04065034"	3155
	865	"04051008"	3394
	866	"03010025"	3229
	867	"04007033"	3395
	868	"04056007"	3396
	869	"04014004"	3397
	870	"04014005"	3174
	871	"04016007"	3398
	872	"04015004"	3104
	873	"03056008"	3134
	874	"04002004"	3399
	875	"03023031"	3237
	876	"03042012"	3130
	877	"04038008"	3253
	878	"03056009"	3135
	879	"04028008"	3106
	880	"04063006"	3400
	881	"04010001"	3101
	882	"04007034"	3401
	883	"04059006"	3101
	884	"03022009"	3073
	885	"03022010"	3089
	886	"04016008"	3402
	887	"04023020"	3174
	888	"03058034"	3403
	889	"03029017"	3093
	890	"04025001"	3101
	891	"03067001"	3210
	892	"04030002"	3101
	893	"03031021"	3095
	894	"04065035"	3090
	895	"04065036"	3101
	896	"04063007"	3404
	897	"04037003"	3101
	898	"03004018"	3088
	899	"03042013"	3131
	900	"03038008"	3153
	901	"04045005"	3101
	902	"04068001"	3110
	903	"04033003"	3110
	904	"03010026"	3233
	905	"03008027"	3094
	906	"04007035"	3110
	907	"04015005"	3110
	908	"03056010"	3136
	909	"04063008"	3405
	910	"04036009"	3303
	911	"04010002"	3105
	912	"04021001"	3105
	913	"04059007"	3105
	914	"04016009"	3101
	915	"03067002"	3329
	916	"03015016"	3132
	917	"03059013"	3076
	918	"04051009"	3105
	919	"03029018"	3094
	920	"04025002"	3105
	921	"03067003"	3203
	922	"04030003"	3105
	923	"03031022"	3096
	924	"04011004"	3142
	925	"04065037"	3174
	926	"04036010"	3406
	927	"04037004"	3105
	928	"03046009"	3092
	929	"03042014"	3132
	930	"03067004"	3157
	931	"04045006"	3105
	932	"04045007"	3103
	933	"04023021"	3407
	934	"03042015"	3122
	935	"03004019"	3096
	936	"04037005"	3103
	937	"04063009"	3408
	938	"04065038"	3103
	939	"03036009"	3409
	940	"03031023"	3097
	941	"04030004"	3103
	942	"03067005"	3348
	943	"04025003"	3103
	944	"03029019"	3095
	945	"03058035"	3410
	946	"03059014"	3074
	947	"04047001"	3110
	948	"03067006"	3237
	949	"04016010"	3102
	950	"04059008"	3103
	951	"04014006"	3154
	952	"04010003"	3103
	953	"04063010"	3411
	954	"04063011"	3412
	955	"03020002"	3078
	956	"03020003"	3079
	957	"03068005"	3157
	958	"03036010"	3210
	959	"04010004"	3108
	960	"03031024"	3237
	961	"04059009"	3108
	962	"04016011"	3103
	963	"03067007"	3153
	964	"03058036"	3413
	965	"04023022"	3301
	966	"03038009"	3172
	967	"03029020"	3096
	968	"04025004"	3108
	969	"03067008"	3165
	970	"04072002"	3108
	971	"03031025"	3098
	972	"03072005"	3152
	973	"04065039"	3414
	974	"03036011"	3329
	975	"04037006"	3108
	976	"03023032"	3122
	977	"03042016"	3123
	978	"03068006"	3165
	979	"04045008"	3108
	980	"04045009"	3102
	981	"03028004"	3072
	982	"03042017"	3124
	983	"03004020"	3092
	984	"04037007"	3102
	985	"04063012"	3415
	986	"04065040"	3102
	987	"03028005"	3075
	988	"03031026"	3099
	989	"04030005"	3102
	990	"03067009"	3346
	991	"04025005"	3102
	992	"03029021"	3097
	993	"03058037"	3416
	994	"03059015"	3075
	995	"03059016"	3072
	996	"03067010"	3349
	997	"04016012"	3104
	998	"04059010"	3102
	999	"04007036"	3417
	1000	"04010005"	3102
	1001	"04063013"	3418
	1002	"04028009"	3109
	1003	"03020004"	3236
	1004	"03020005"	3113
	1005	"03020006"	3354
	1006	"04063014"	3419
	1007	"04002005"	3420
	1008	"04010006"	3106
	1009	"04010007"	3104
	1010	"04063015"	3421
	1011	"04011005"	3166
	1012	"04015006"	3422
	1013	"03021018"	3088
	1014	"03001008"	3091
